0,呼ひタメ,フォロハ,歓迎,呼ん,お呼ひ,仲良く,らいい,呼へ,呼ひ,タク,早速,呼は,絡ん,せひ,嬉しい,こそ,いえいえ,甘え,反応,さっそく,タメ,よけれ,お迎え,フォロー,是非是非,繋か,呼ふ,繋かり,了解,お先に,しゃあ,よろしくお願いします,敬語,呼ひ捨て,良けれ,タメ語,申し,はーい,呼ひ方,繋かっ,繋から,タメ口,お話し,同い年,くたさい,何と,気軽,お話,もらい,ありかとう
1,天気,寒い,今朝,晴れ,寒く,暑く,暖かく,暑い,予報,気温,お天気,降っ,週末,涼しく,おはよう,涼しい,今日,暑さ,お過こし,過こし,今週,体調,お仕事,おはあり,寒さ,つけ,おは,一日,肌寒い,冷え,崩さ,降ら,行ってらっしゃい,ゆっくり,午後,蒸し暑い,曇り空,日中,体調管理,天気予報,冷え込ん,寒い朝,暖かい,熱中症,快晴,曇り,蒸し暑,台風,休み,止ん
2,他人,そういう,相手,感情,価値観,世の中,理解,否定,わけ,自覚,態度,言える,自分,に対して,人間,発言,気持ち,言え,別に,人間関係,自分自身,文句,思う,怒る,たから,嫌わ,意見,愚痴,そんな,怒り,考え方,言っ,不快,くせ,たろ,言わ,傷つけ,言い方,謝っ,悪い,自身,人として,理由,立場,当たり前,傷つける,思わ,許せ,言う,分かっ
3,作品,原作,シーン,映画,アニメ,読ん,小説,面白かっ,登場人物,物語,面白い,描写,トラマ,名作,観る,読み,漫画,展開,脚本,演技,続編,ストーリー,主人公,長編,感想,世界観,ネタハレ,読む,演し,キャラクター,実写化,シリアス,コミカライス,マンカ,主演,実写,アニメ版,表現,本編,タイトル,作者,作中,作画,演出,セリフ,見る,台詞,要素,完結,映画化
4,病院,痛み,治る,安静,痛い,医者,痛く,症状,治り,治っ,検査,治ら,治す,処方,頭痛,受診,悪化,治療,入院,診察,抗生物質,体調,治し,血液検査,腫れ,手術,副作用,抗生剤,病気,点滴,炎症,心配,大事,風邪,インフル,術後,レントケン,身体,吐き気,完治,注射,内科,整形外科,インフルエンサ,激痛,関節痛,主治医,解熱,耳鼻科,漢方
5,美味し,食へ,食へる,美味しい,炒め,スーフ,野菜,美味しく,美味しかっ,醤油,料理,サラタ,味付け,美味い,おいし,焼い,おいしい,こ飯,美味,鶏カラ,茹て,豚肉,鶏肉,トッヒンク,チース,カレー,卵焼き,ラーメン,和え,コンソメ,美味かっ,ソテー,わさひ醤油,ハター,こはん,焼き,出汁,豆板醤,トマト,冷凍,味噌,味噌汁,具材,白菜,胡麻油,メニュー,隠し味,スヘアリフ,キャヘツ,食へ物
6,新幹線,電車,乗り換え,遠い,ハス,観光,飛行機,ホテル,乗り継い,特急,交通,方面,在来線,タクシー,停車駅,地下鉄,近く,運転,帰り,乗っ,着い,新大阪,空港,直通,各駅停車,目的地,地元,jr,直行便,場所,往復,運休,各停,環状線,宇都宮駅,羽田,帰る,筑肥線,行っ,乗れ,始発,夜行ハス,快速,中央線,区間,関空,路線ハス,高速ハス,移動,東京
7,楽しかっ,嬉しかっ,本当にありかとうこさいました,ライフ,会え,楽しん,お疲れ様,会い,くたさっ,ステーシ,皆様,皆さん,楽しみ,おつかれさま,会える,楽しま,来場,応援,感謝,レホ,下さっ,お疲れさま,幸せ,本当に,楽しい,スタッフ,うれしかっ,方々,みなさん,ワンマンライフ,セトリ,たくさん,盛り上け,楽し,沢山,素敵,楽しめ,緊張,感動,演者,盛り上かっ,てし,live,久しふり,いつか,これから,たかっ,出演者,終始,とっても
8,描け,描く,描い,描ける,描き,塗り,アナロク,線画,テシタル,描か,イラスト,絵柄,コヒック,アイヒス,画力,色鉛筆,私の絵,描こ,描き方,絵師,水彩,褒め,描き直し,塗っ,色塗,下書き,シャーヘン,絵描き,ヘンタフ,アイコン,ヘン入れ,水彩色鉛筆,構図,お絵描き,鉛筆,模写,落書き,アイヒスヘイント,お絵かき,完成,加工,仕上ける,ほかし,上手く,色彩,陰影,画材,質感,した塗り,クオリティ
9,おおおお,おおおおお,あああああ,うわ,ううう,ああああ,ぇぇ,ああああああ,ーーー,ーーーー,ぁぁぁ,おおおおおお,ぉぉ,ぅぅ,えええ,あああ,ええええ,おおおおおおお,うううう,おおおおおおおお,まっ,ありかと,ああああああああ,ーーーーー,おおお,えええええ,うっ,ほんと,ぃぃ,ーー,よぉぉ,あああああああ,いや,えええええええ,おおおおおおおおお,嬉し,待っ,いいいいいい,ええええええ,よぉぉぉ,おおおおおおおおおお,いいいいいいい,ほんとに,わい,いいいい,とぉ,よっ,語彙力,ああああああああああ,うううううううう
